,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,val_loss,val_binary_accuracy,val_TP,val_TN,val_FP,val_FN,val_precision,val_recall
33,0.00035861515789292753,0.8351989984512329,342.0,2344.0,400.0,130.0,0.4609164297580719,0.7245762944221497,0.43311330676078796,0.8802083134651184,41.0,297.0,3.0,43.0,0.9318181872367859,0.488095223903656
34,0.0003654173342511058,0.834266185760498,340.0,2343.0,401.0,132.0,0.45883941650390625,0.7203390002250671,0.4855654239654541,0.8307291865348816,52.0,267.0,37.0,28.0,0.584269642829895,0.6499999761581421
35,0.0003621250798460096,0.8296020030975342,351.0,2317.0,425.0,123.0,0.45231959223747253,0.7405063509941101,0.4264402389526367,0.8854166865348816,41.0,299.0,2.0,42.0,0.9534883499145508,0.4939759075641632
36,0.0003576270828489214,0.8336442708969116,354.0,2327.0,419.0,116.0,0.4579560160636902,0.7531914710998535,0.41526147723197937,0.8854166865348816,40.0,300.0,0.0,44.0,1.0,0.4761904776096344
37,0.0003548396343830973,0.8432835936546326,354.0,2358.0,388.0,116.0,0.47708895802497864,0.7531914710998535,0.51167231798172,0.8541666865348816,53.0,275.0,24.0,32.0,0.6883116960525513,0.6235294342041016
38,0.0003606667451094836,0.836442768573761,355.0,2335.0,408.0,118.0,0.46526867151260376,0.7505285143852234,0.41845032572746277,0.8541666865348816,26.0,302.0,1.0,55.0,0.9629629850387573,0.32098764181137085
39,0.00035784352803602815,0.8327114582061768,354.0,2324.0,420.0,118.0,0.45736435055732727,0.75,0.41360875964164734,0.8802083134651184,35.0,303.0,0.0,46.0,1.0,0.43209877610206604
40,0.0003602275683078915,0.8320895433425903,349.0,2327.0,417.0,123.0,0.4556135833263397,0.7394067645072937,0.41411375999450684,0.8697916865348816,32.0,302.0,0.0,50.0,1.0,0.39024388790130615
41,0.0003557584132067859,0.8386194109916687,349.0,2348.0,395.0,124.0,0.46908602118492126,0.7378435730934143,0.3915550410747528,0.8828125,39.0,300.0,0.0,45.0,1.0,0.4642857015132904
42,0.00034664932172745466,0.8423507213592529,352.0,2357.0,388.0,119.0,0.47567567229270935,0.747346043586731,0.4617210626602173,0.875,37.0,299.0,3.0,45.0,0.925000011920929,0.45121949911117554
43,0.00034727639285847545,0.8491915464401245,365.0,2366.0,376.0,109.0,0.49257761240005493,0.7700421810150146,0.49521514773368835,0.8385416865348816,20.0,302.0,0.0,62.0,1.0,0.24390244483947754
44,0.00035686299088411033,0.8311567306518555,354.0,2319.0,425.0,118.0,0.4544287621974945,0.75,0.44359126687049866,0.8671875,31.0,302.0,0.0,51.0,1.0,0.37804877758026123
45,0.0003463792963884771,0.8457711338996887,366.0,2354.0,388.0,108.0,0.485411137342453,0.7721518874168396,0.3980962336063385,0.8932291865348816,44.0,299.0,1.0,40.0,0.9777777791023254,0.523809552192688
46,0.0003536760341376066,0.8383084535598755,358.0,2338.0,404.0,116.0,0.46981626749038696,0.75527423620224,0.44484928250312805,0.8854166865348816,47.0,293.0,7.0,37.0,0.8703703880310059,0.5595238208770752
47,0.0003504699852783233,0.8426616787910461,369.0,2341.0,403.0,103.0,0.47797927260398865,0.7817796468734741,0.5759276747703552,0.7734375,68.0,229.0,70.0,17.0,0.49275362491607666,0.800000011920929
48,0.0003497466095723212,0.8460820913314819,357.0,2364.0,378.0,117.0,0.48571428656578064,0.753164529800415,0.4146859347820282,0.875,37.0,299.0,0.0,48.0,1.0,0.43529412150382996
49,0.00034611174487508833,0.8457711338996887,351.0,2369.0,373.0,123.0,0.484806627035141,0.7405063509941101,0.40978944301605225,0.8854166865348816,40.0,300.0,0.0,44.0,1.0,0.4761904776096344
50,0.00034448987571522593,0.8445273637771606,361.0,2355.0,386.0,114.0,0.4832664132118225,0.7599999904632568,0.391440749168396,0.8958333134651184,43.0,301.0,0.0,40.0,1.0,0.5180723071098328
51,0.0003395349776837975,0.8690920472145081,364.0,2431.0,313.0,108.0,0.5376662015914917,0.7711864113807678,0.4179879426956177,0.8880208134651184,44.0,297.0,3.0,40.0,0.936170220375061,0.523809552192688
52,0.00034324798616580665,0.8482587337493896,363.0,2365.0,378.0,110.0,0.4898785352706909,0.7674418687820435,0.3980826437473297,0.890625,41.0,301.0,0.0,42.0,1.0,0.4939759075641632
53,0.00034038154990412295,0.8557214140892029,368.0,2384.0,360.0,104.0,0.5054945349693298,0.7796609997749329,0.4093691408634186,0.8697916865348816,35.0,299.0,1.0,49.0,0.9722222089767456,0.4166666567325592
54,0.0003387030155863613,0.8578979969024658,358.0,2401.0,341.0,116.0,0.5121602416038513,0.75527423620224,0.4264548718929291,0.9140625,52.0,299.0,0.0,33.0,1.0,0.6117647290229797
55,0.00034080498153343797,0.8516790866851807,364.0,2375.0,370.0,107.0,0.4959128201007843,0.7728237509727478,0.4015914499759674,0.890625,47.0,295.0,6.0,36.0,0.8867924809455872,0.5662650465965271
56,0.00035209368797950447,0.8467040061950684,353.0,2370.0,373.0,120.0,0.4862259030342102,0.746300220489502,0.3805191218852997,0.9010416865348816,46.0,300.0,1.0,37.0,0.978723406791687,0.5542168617248535
57,0.0003405338211450726,0.853233814239502,372.0,2372.0,371.0,101.0,0.5006729364395142,0.7864693403244019,0.42864692211151123,0.8697916865348816,35.0,299.0,1.0,49.0,0.9722222089767456,0.4166666567325592
58,0.00034027962828986347,0.8426616787910461,377.0,2333.0,408.0,98.0,0.48025476932525635,0.793684184551239,0.386310338973999,0.90625,48.0,300.0,2.0,34.0,0.9599999785423279,0.5853658318519592
59,0.0003375030355527997,0.8563432693481445,371.0,2383.0,358.0,104.0,0.5089163184165955,0.7810526490211487,0.425249308347702,0.8932291865348816,50.0,293.0,6.0,35.0,0.8928571343421936,0.5882353186607361
60,0.00033115450059995055,0.8631840944290161,375.0,2401.0,342.0,98.0,0.5230125784873962,0.7928118109703064,0.395053505897522,0.9010416865348816,57.0,289.0,13.0,25.0,0.8142856955528259,0.6951219439506531
61,0.0003342325217090547,0.8606964945793152,369.0,2399.0,346.0,102.0,0.5160838961601257,0.7834395170211792,0.4583940804004669,0.8411458134651184,22.0,301.0,0.0,61.0,1.0,0.2650602459907532
62,0.0003343124408274889,0.864116907119751,378.0,2401.0,342.0,95.0,0.5249999761581421,0.7991543412208557,0.4236896336078644,0.890625,43.0,299.0,4.0,38.0,0.914893627166748,0.5308641791343689
63,0.00033852033084258437,0.8529228568077087,365.0,2378.0,368.0,105.0,0.4979536235332489,0.7765957713127136,0.46129903197288513,0.8567708134651184,43.0,286.0,15.0,40.0,0.7413793206214905,0.5180723071098328
64,0.0003493029798846692,0.8299129605293274,361.0,2308.0,433.0,114.0,0.45465993881225586,0.7599999904632568,0.4112147390842438,0.8854166865348816,39.0,301.0,0.0,44.0,1.0,0.46987950801849365
65,0.0003376957611180842,0.8541666865348816,374.0,2373.0,369.0,100.0,0.5033647418022156,0.7890295386314392,0.4493617117404938,0.8671875,34.0,299.0,0.0,51.0,1.0,0.4000000059604645
66,0.00033700664062052965,0.85447758436203,367.0,2381.0,362.0,106.0,0.5034293532371521,0.7758985161781311,0.4465014636516571,0.890625,56.0,286.0,14.0,28.0,0.800000011920929,0.6666666865348816
67,0.0003366735763847828,0.864116907119751,381.0,2398.0,345.0,92.0,0.5247933864593506,0.8054968118667603,0.4359818696975708,0.9010416865348816,49.0,297.0,3.0,35.0,0.942307710647583,0.5833333134651184
68,0.00033250899286940694,0.856965184211731,366.0,2390.0,356.0,104.0,0.5069252252578735,0.778723418712616,0.5405465364456177,0.7942708134651184,65.0,240.0,60.0,19.0,0.5199999809265137,0.773809552192688
69,0.00032808928517624736,0.8606964945793152,367.0,2401.0,343.0,105.0,0.516901433467865,0.7775423526763916,0.428879052400589,0.8645833134651184,34.0,298.0,1.0,51.0,0.9714285731315613,0.4000000059604645
70,0.0003255501214880496,0.865360677242279,378.0,2405.0,342.0,91.0,0.5249999761581421,0.8059701323509216,0.4136815071105957,0.8723958134651184,35.0,300.0,0.0,49.0,1.0,0.4166666567325592
71,0.00032445788383483887,0.8656716346740723,378.0,2406.0,337.0,95.0,0.5286713242530823,0.7991543412208557,0.46710649132728577,0.9010416865348816,59.0,287.0,15.0,23.0,0.7972972989082336,0.7195122241973877
